Rk,Class Year,Height,Player,Team,Conf_x,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year,Rk_ranking,Conf_y,G,Rec,AdjOE,AdjDE,Barthag,Eff. FG% - EFG%,Eff. FG% - EFGD%,Turnover% - TOR,Turnover% - TORD,Rebound% - ORB,Rebound% - DRB,FT Rate - FTR,FT Rate - FTRD,2-Pt % - 2P%,2-Pt % - 2P%D,3-Pt % - 3P%,3-Pt % - 3P%D,3P Rate - 3PR,3P Rate - 3PRD,Adj T.,WAB,Seed,Result,Rk_stats,Adj. Eff. - Off.,Adj. Eff. - Def.,Eff. FG% - Off.,Eff. FG% - Def.,Turnover% - Off.,Turnover% - Def.,Off. Reb% - Off.,Off. Reb% - Def.,FT Rate - Off.,FT Rate - Def.,FT% - Off.,FT% - Def.,2P% - Off.,2P% - Def.,3P% - Off.,3P% - Def.
11,Jr,'6-8',Brandon Clarke,Gonzaga,WCC,70.2,5.6,15.4,134.3,24.0,69.3,69.9,13.9,19.7,12.1,12.7,10.8,2.3,42.0,253-359,0.705,0.8,'4-15',0.267,2019,1.0,WCC,37.0,'33-4',124.4,91.0,0.9732,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,35.3,34.9,70.3,7.2,1.0,Elite Eight,1.0,124.4,91.0,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,76.1,69.7,61.4,43.4,36.3,30.4
12,Sr,'6-1',Daishon Smith,Louisiana Monroe,SB,78.8,5.5,8.0,123.3,27.6,57.0,63.0,2.4,13.0,24.5,13.2,0.2,3.6,46.4,82-158,0.519,14.6,'109-273',0.399,2019,140.0,SB,35.0,'19-16',112.4,109.6,0.572,54.0,52.9,16.2,17.4,26.9,29.0,35.8,28.4,49.6,52.7,39.7,35.4,44.2,39.4,66.0,-7.2,,,42.0,112.4,109.6,54.0,52.9,16.2,17.4,26.9,29.0,35.8,28.4,78.7,72.0,49.6,52.7,39.7,35.4
13,So,'6-7',De'Andre Hunter,Virginia,ACC,80.4,5.5,9.4,122.9,23.5,57.9,61.8,5.6,13.4,13.0,11.8,2.4,1.2,39.8,159-289,0.55,5.6,'46-105',0.438,2019,2.0,ACC,38.0,'35-3',123.8,91.1,0.9714,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,39.5,42.5,59.2,11.1,1.0,CHAMPS,2.0,123.8,91.1,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,74.4,66.6,52.5,45.7,39.5,28.9
14,Sr,'6-8',Matt Rafferty,Furman,SC,84.3,5.4,12.8,127.9,25.0,61.6,65.2,9.7,21.7,25.1,15.4,3.7,4.5,47.9,190-304,0.625,1.4,'8-24',0.333,2019,62.0,SC,33.0,'25-8',108.8,97.6,0.7762,55.4,47.9,18.4,20.1,28.7,30.0,24.9,24.2,56.7,48.6,36.0,31.2,47.0,38.9,66.4,-0.26,,,87.0,108.8,97.6,55.4,47.9,18.4,20.1,28.7,30.0,24.9,24.2,72.3,68.6,56.7,48.6,36.0,31.2
15,Jr,'6-5',Sam Merrill,Utah St,MWC,88.4,5.4,7.2,123.2,25.3,54.1,60.9,1.1,10.9,23.6,12.3,0.8,1.6,42.0,137-259,0.529,10.5,'82-222',0.369,2019,42.0,MWC,35.0,'28-7',112.4,97.8,0.8313,53.9,46.5,18.2,17.3,32.0,22.3,36.7,34.3,54.2,42.2,35.7,35.3,38.0,39.9,68.0,2.2,8.0,R64,43.0,112.4,97.8,53.9,46.5,18.2,17.3,32.0,22.3,36.7,34.3,75.0,71.3,54.2,42.2,35.7,35.3
16,Jr,'6-3',Grant Riller,Charleston,CAA,88.1,5.4,5.7,120.9,30.1,58.4,62.4,2.2,10.2,25.7,13.1,0.2,2.1,38.3,210-339,0.619,7.3,'45-136',0.331,2019,131.0,CAA,33.0,'24-9',108.0,104.1,0.6034,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,56.3,53.7,33.7,33.3,36.6,42.9,65.5,-2.9,,,109.0,108.0,104.1,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,76.1,73.3,56.3,53.7,33.7,33.3
17,Jr,'6-9',Dedric Lawson,Kansas,B12,80.8,5.4,9.7,114.4,28.5,52.5,57.8,11.0,23.2,11.1,14.0,3.7,2.2,40.4,214-419,0.511,4.3,'35-89',0.393,2019,17.0,B12,36.0,'26-10',113.7,93.7,0.903,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,34.9,41.8,69.9,8.3,4.0,R32,28.0,113.7,93.7,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,70.5,68.6,52.6,46.0,35.0,33.6
18,Fr,'6-7',R.J. Barrett,Duke,ACC,87.9,5.4,7.2,108.0,31.3,50.6,53.2,4.8,17.2,23.5,15.9,1.2,1.4,31.9,246-465,0.529,9.6,'73-237',0.308,2019,5.0,ACC,38.0,'32-6',119.6,90.4,0.9618,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,58.0,45.0,30.8,29.9,37.3,35.0,72.2,11.2,1.0,Elite Eight,8.0,119.6,90.4,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,68.6,69.6,58.0,45.0,30.8,29.9
19,Jr,'6-5',Ty Jerome,Virginia,ACC,81.8,5.3,10.3,119.1,24.1,53.2,55.5,1.8,13.0,32.6,13.3,0.1,3.0,22.2,99-211,0.469,10.4,'79-198',0.399,2019,2.0,ACC,38.0,'35-3',123.8,91.1,0.9714,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,39.5,42.5,59.2,11.1,1.0,CHAMPS,2.0,123.8,91.1,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,74.4,66.6,52.5,45.7,39.5,28.9
20,Jr,'6-1',Shamorie Ponds,St John's,BE,84.3,5.3,9.0,116.8,27.6,52.2,57.7,3.1,10.3,29.0,11.3,0.9,4.1,38.4,151-292,0.517,8.8,'65-184',0.353,2019,84.0,BE,34.0,'21-13',108.3,100.6,0.6997,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,38.5,42.2,70.9,-1.1,11.0,R68,98.0,108.3,100.6,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,71.9,71.0,50.7,50.3,35.8,34.2
21,Sr,'6-3',CJ Massinburg,Buffalo,MAC,78.1,5.3,10.1,127.6,22.7,57.0,61.4,6.6,13.6,15.0,9.7,0.9,1.9,44.4,101-189,0.534,11.2,'92-230',0.4,2019,29.0,MAC,36.0,'32-4',114.5,96.4,0.879,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,44.1,35.9,73.5,5.7,6.0,R32,24.0,114.5,96.4,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,68.4,70.5,55.7,49.3,33.7,29.3
22,Jr,'6-8',Tres Tinkle,Oregon St,P12,87.4,5.3,8.2,113.2,29.2,54.3,58.6,6.8,19.1,23.8,16.6,1.7,2.8,41.1,162-284,0.57,8.7,'53-161',0.329,2019,101.0,P12,31.0,'18-13',111.4,104.7,0.6702,52.2,50.2,18.3,17.6,30.8,29.0,36.8,33.5,54.5,46.7,32.1,37.3,36.6,37.4,65.6,-3.8,,,50.0,111.4,104.7,52.2,50.2,18.3,17.6,30.8,29.0,36.8,33.5,74.2,66.8,54.5,46.7,32.1,37.3
23,Sr,'6-9',Cameron Johnson,North Carolina,ACC,74.6,5.3,12.1,128.9,20.7,62.0,64.7,6.5,13.4,13.8,12.8,1.1,2.1,26.3,115-208,0.553,10.3,'96-210',0.457,2019,7.0,ACC,36.0,'29-7',120.8,92.6,0.9551,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,35.8,43.8,74.5,10.0,1.0,Sweet Sixteen,6.0,120.8,92.6,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,74.3,67.9,52.1,47.9,36.2,33.5
24,Sr,'6-8',Dylan Windler,Belmont,OVC,83.7,5.3,10.5,126.6,24.7,64.9,68.0,6.8,27.2,13.4,13.6,1.7,2.4,30.5,142-215,0.66,11.4,'97-228',0.425,2019,50.0,OVC,33.0,'27-6',115.9,102.0,0.8127,57.6,48.7,15.2,16.0,25.3,25.0,28.5,27.4,59.2,47.2,37.0,34.4,43.8,34.5,70.9,1.4,11.0,R64,18.0,115.9,102.0,57.6,48.7,15.2,16.0,25.3,25.0,28.5,27.4,73.5,69.3,59.2,47.2,37.0,34.4
25,Jr,'6-2',Myles Powell,Seton Hall,BE,88.9,5.2,9.5,112.0,29.5,54.2,59.2,2.4,10.3,18.4,15.8,0.6,3.2,36.5,145-269,0.539,13.7,'107-295',0.363,2019,65.0,BE,34.0,'20-14',108.8,98.1,0.7668,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,50.6,48.7,32.4,34.0,36.7,40.2,68.9,-0.29,10.0,R64,86.0,108.8,98.1,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,70.6,74.2,50.6,48.7,32.4,34.0
26,Jr,'6-2',Kyle Guy,Virginia,ACC,87.6,5.2,8.9,120.4,21.2,58.5,60.9,2.7,12.6,11.9,12.2,0.2,1.3,19.0,78-159,0.491,13.8,'120-282',0.426,2019,2.0,ACC,38.0,'35-3',123.8,91.1,0.9714,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,39.5,42.5,59.2,11.1,1.0,CHAMPS,2.0,123.8,91.1,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,74.4,66.6,52.5,45.7,39.5,28.9
27,Fr,'6-1',Antoine Davis,Detroit Mercy,Horz,90.5,5.1,2.7,107.7,35.0,50.1,53.9,2.1,7.5,24.0,14.5,0.0,1.4,22.4,131-310,0.423,17.7,'132-347',0.38,2019,231.0,Horz,31.0,'11-20',106.7,113.0,0.3407,49.7,54.4,16.3,19.8,29.3,36.4,31.0,32.7,46.7,56.2,35.6,34.5,44.0,41.0,68.7,-12.0,,,132.0,106.7,113.0,49.7,54.4,16.3,19.8,29.3,36.4,31.0,32.7,71.8,72.9,46.7,56.2,35.6,34.5
28,Jr,'6-6',Anthony Lamb,Vermont,AE,74.6,5.1,12.0,117.4,32.6,56.8,60.5,6.2,23.3,19.4,12.7,7.3,1.7,40.4,189-328,0.576,8.4,'50-137',0.365,2019,75.0,AE,34.0,'27-7',108.2,99.0,0.7353,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,51.6,46.3,35.9,35.1,41.0,37.7,65.3,-0.8,13.0,R64,101.0,108.2,99.0,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,74.9,73.4,51.6,46.3,35.9,35.1
29,Sr,'6-4',Quinndary Weatherspoon,Mississippi St,SEC,84.5,5.1,7.3,116.3,25.8,57.4,62.2,4.7,11.6,16.6,19.3,1.1,2.9,43.7,158-280,0.564,7.0,'55-139',0.396,2019,23.0,SEC,34.0,'23-11',117.7,98.0,0.8916,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,39.1,36.6,67.4,4.6,5.0,R64,13.0,117.7,98.0,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,71.7,71.5,53.4,48.4,37.7,35.7
30,Jr,'5-11',Jared Harper,Auburn,SEC,82.3,5.1,6.3,116.7,25.1,50.1,56.0,1.0,8.1,32.6,16.9,0.2,2.0,39.9,82-191,0.429,11.6,'96-260',0.369,2019,12.0,SEC,40.0,'30-10',122.0,96.4,0.9376,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,49.6,43.4,67.8,6.1,5.0,Final Four,5.0,122.0,96.4,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,71.3,71.0,51.7,51.4,38.1,34.8
31,Sr,'6-4',Fletcher Magee,Wofford,SC,80.1,5.1,7.7,124.0,25.7,57.4,61.3,1.5,8.3,9.9,10.5,0.2,1.3,22.0,64-131,0.489,19.8,'140-346',0.405,2019,25.0,SC,35.0,'30-5',117.3,98.2,0.886,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,53.9,50.6,41.4,32.6,43.9,39.9,65.5,4.2,7.0,R32,14.0,117.3,98.2,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,71.0,70.9,53.9,50.6,41.4,32.6
32,Sr,'6-6',Jordon Varnado,Troy,SB,56.4,5.0,5.8,116.3,29.1,59.6,63.4,7.5,19.1,17.3,16.4,3.8,0.9,39.3,108-189,0.571,7.5,'36-83',0.434,2019,252.0,SB,30.0,'12-18',101.8,109.1,0.3109,51.0,52.7,19.9,17.1,27.2,31.1,31.7,32.8,51.7,50.1,33.2,37.8,40.9,38.4,67.0,-11.5,,,226.0,101.8,109.1,51.0,52.7,19.9,17.1,27.2,31.1,31.7,32.8,72.4,70.0,51.7,50.1,33.2,37.8
33,Jr,'6-10',Kerry Blackshear Jr.,Virginia Tech,ACC,74.4,5.0,7.2,118.8,27.4,53.7,58.3,13.7,18.5,17.3,13.7,4.1,1.4,50.3,163-299,0.545,3.7,'21-63',0.333,2019,13.0,ACC,35.0,'26-9',118.6,94.5,0.9315,55.6,49.0,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49.0,39.4,32.7,43.7,49.9,63.7,5.0,4.0,Sweet Sixteen,11.0,118.6,94.5,55.6,49.0,17.3,21.6,29.6,27.2,31.9,26.3,76.1,72.2,52.9,49.0,39.4,32.7
34,Jr,'6-8',Rui Hachimura,Gonzaga,WCC,75.5,5.0,8.4,121.7,26.4,60.8,63.9,5.8,17.0,9.3,12.9,2.4,1.8,47.7,260-429,0.606,1.8,'15-36',0.417,2019,1.0,WCC,37.0,'33-4',124.4,91.0,0.9732,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,35.3,34.9,70.3,7.2,1.0,Elite Eight,1.0,124.4,91.0,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,76.1,69.7,61.4,43.4,36.3,30.4
35,Sr,'6-5',John Konchar,Purdue Fort Wayne,Sum,86.8,5.0,8.2,119.9,28.3,59.1,62.3,7.3,20.5,30.0,16.6,3.0,3.3,43.3,166-266,0.624,6.7,'45-129',0.349,2019,168.0,Sum,33.0,'18-15',107.6,108.1,0.4862,55.8,54.0,16.8,17.1,23.1,28.6,26.9,25.0,55.8,52.0,37.2,38.0,45.7,39.2,71.6,-9.3,,,116.0,107.6,108.1,55.8,54.0,16.8,17.1,23.1,28.6,26.9,25.0,69.9,70.2,55.8,52.0,37.2,38.0
36,Sr,'6-1',Corey Davis Jr.,Houston,Amer,82.4,4.9,8.8,120.9,23.1,53.5,57.9,2.4,8.3,17.0,11.4,0.3,1.9,27.0,91-185,0.492,14.4,'111-296',0.375,2019,11.0,Amer,37.0,'33-4',116.6,91.6,0.9411,52.1,42.5,16.5,18.2,34.4,26.0,31.6,37.3,51.3,43.0,35.5,27.9,42.6,41.1,65.7,7.9,3.0,Sweet Sixteen,16.0,116.6,91.6,52.1,42.5,16.5,18.2,34.4,26.0,31.6,37.3,70.3,69.4,51.3,43.0,35.5,27.9
37,Sr,'6-3',Phil Booth,Villanova,BE,86.9,4.9,5.5,112.5,27.4,52.9,56.7,1.2,11.9,24.9,14.8,0.7,1.5,36.5,123-243,0.506,12.5,'95-259',0.367,2019,39.0,BE,36.0,'26-10',115.5,100.1,0.8383,53.2,50.4,16.9,18.0,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,53.5,39.7,63.6,3.7,6.0,R32,21.0,115.5,100.1,53.2,50.4,16.9,18.0,30.3,27.7,34.4,28.2,72.8,70.0,53.7,49.7,35.2,34.3
38,Sr,'6-3',Jeremiah Martin,Memphis,Amer,85.2,4.8,9.5,114.8,26.1,51.8,57.7,3.5,10.1,24.4,15.6,2.1,3.4,54.3,154-297,0.519,8.2,'66-191',0.346,2019,54.0,Amer,36.0,'22-14',109.0,97.1,0.7913,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,36.0,39.4,74.2,-1.3,,,79.0,109.0,97.1,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,71.4,70.1,52.5,48.9,32.2,32.2
39,Jr,'6-4',Jon Axel Gudmundsson,Davidson,A10,92.6,4.8,6.8,115.5,25.3,53.6,60.1,2.5,20.0,27.5,16.3,0.3,2.1,51.7,115-213,0.54,8.1,'58-164',0.354,2019,87.0,A10,34.0,'24-10',108.4,100.9,0.6948,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30.0,52.8,47.3,35.6,33.0,46.4,43.8,64.7,-0.7,,,94.0,108.4,100.9,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30.0,75.2,70.9,52.8,47.3,35.6,33.0
40,Jr,'6-10',Nathan Knight,William & Mary,CAA,75.4,4.8,7.9,117.8,33.0,58.9,62.5,10.4,22.2,28.6,15.2,7.4,0.8,53.1,220-358,0.615,2.6,'Oct-41',0.244,2019,217.0,CAA,31.0,'14-17',103.4,108.0,0.3777,54.4,52.7,18.3,15.6,24.5,26.0,31.3,30.0,55.8,51.1,35.0,36.9,41.5,36.3,68.7,-10.8,,,194.0,103.4,108.0,54.4,52.7,18.3,15.6,24.5,26.0,31.3,30.0,66.7,76.0,55.8,51.1,35.0,36.9
41,Jr,'6-0',Eugene German,Northern Illinois,MAC,75.8,4.8,7.7,114.0,29.9,58.2,59.9,2.0,16.7,19.0,14.4,0.6,2.3,26.8,139-252,0.552,12.2,'84-203',0.414,2019,145.0,MAC,34.0,'17-17',107.6,105.8,0.5477,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50.0,36.5,36.1,32.3,45.5,65.8,-8.7,,,115.0,107.6,105.8,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,73.3,68.0,51.6,50.0,36.5,36.1
42,So,'6-1',Colbey Ross,Pepperdine,WCC,87.4,4.8,3.4,110.7,31.0,52.0,61.1,1.1,8.9,42.2,22.8,0.5,1.8,67.4,113-242,0.467,7.7,'63-157',0.401,2019,147.0,WCC,34.0,'16-18',108.1,106.4,0.5467,52.0,53.9,18.0,20.9,24.9,29.5,35.7,35.7,48.4,54.9,37.9,34.8,42.2,39.2,70.2,-9.5,,,104.0,108.1,106.4,52.0,53.9,18.0,20.9,24.9,29.5,35.7,35.7,75.8,70.0,48.4,54.9,37.9,34.8
43,So,'6-5',Terry Taylor,Austin Peay,OVC,83.6,4.7,6.6,121.4,26.7,57.7,60.2,10.8,19.9,10.7,12.0,3.0,1.7,30.4,194-323,0.601,7.5,'49-141',0.348,2019,123.0,OVC,33.0,'22-11',111.4,106.7,0.6233,52.9,52.5,16.6,20.8,32.3,30.0,34.7,34.2,51.1,53.5,37.5,34.0,34.1,37.5,68.8,-4.7,,,49.0,111.4,106.7,52.9,52.5,16.6,20.8,32.3,30.0,34.7,34.2,70.8,69.4,51.1,53.5,37.5,34.0
44,Sr,'6-6',Cameron Young,Quinnipiac,MAAC,87.7,4.7,5.4,116.8,29.2,59.4,63.6,3.3,13.0,13.6,16.2,0.9,1.9,51.0,118-223,0.529,12.7,'104-238',0.437,2019,243.0,MAAC,31.0,'16-15',105.8,112.6,0.3285,52.8,50.7,19.4,15.7,29.8,29.3,37.3,27.0,48.5,50.1,37.7,34.5,53.4,36.9,66.7,-10.6,,,147.0,105.8,112.6,52.8,50.7,19.4,15.7,29.8,29.3,37.3,27.0,72.4,65.2,48.5,50.1,37.7,34.5
45,Sr,'6-4',Shizz Alston Jr.,Temple,Amer,90.6,4.7,6.2,111.0,27.2,50.2,55.8,1.5,7.1,28.4,14.5,0.5,2.3,29.7,108-228,0.474,13.3,'99-283',0.35,2019,60.0,Amer,33.0,'23-10',110.3,98.7,0.7807,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33.0,32.9,37.4,38.3,68.7,2.0,11.0,R68,62.0,110.3,98.7,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,72.7,68.0,50.1,51.5,33.0,32.9
46,Sr,'6-0',Jahmal McMurray,SMU,Amer,81.7,4.7,4.6,117.0,25.2,55.9,58.3,0.5,7.6,17.7,12.7,0.4,1.3,17.6,105-203,0.517,14.9,'101-256',0.395,2019,86.0,Amer,32.0,'15-17',113.2,105.3,0.6964,51.2,50.0,16.6,17.5,33.4,31.6,27.8,29.5,51.3,48.2,34.1,35.1,41.0,41.1,64.9,-6.3,,,34.0,113.2,105.3,51.2,50.0,16.6,17.5,33.4,31.6,27.8,29.5,71.5,72.4,51.3,48.2,34.1,35.1
